empresa,cnpj,setor,porte_funcionarios,pct_mulheres_estimado,operacao_bauru,distancia_estudio_km,tem_plano_saude_empresarial,regime_tributario,reputacao_empregador,gestantes_estimadas_ano,fontes_pesquisa,score_0_100,status_funil,responsavel,proximo_passo,observacoes
Unimed Bauru,a confirmar,Saude / operadora de plano e hospital,~2000,75%,sim (sede),a medir,sim,Cooperativa,Boa,35 a 45,unimedbauru.com.br; linkedin,90,a prospectar,,mapear contato do RH,Operadora de saude: argumento de sinistralidade e o mais forte; 1500 mulheres no quadro
Rede Confianca Supermercados,a confirmar,Varejo supermercadista,~4500,~50%,sim (sede),a medir,sim,Lucro Real,Media,60 a 90,clienteconfianca.com.br; abras.com.br; linkedin,87,a prospectar,,contato RH corporativo em Bauru,Rede familiar regional; 7+ lojas em Bauru; muita mulher em caixa e administrativo
Tilibra (ACCO Brands),a confirmar,Industria de papelaria e material escolar,1000 a 2000,~45%,sim (fabrica R. Aymores),a medir,sim,Lucro Real,Media a boa,25 a 40,tilibra.com.br; accobrands.com,83,a prospectar,,contato RH da planta de Bauru,Multinacional; pico sazonal de volta as aulas; marca de peso na cidade
OdontoCompany (OC),a confirmar,Franqueadora de odontologia (sede),500 a 1000,~75%,sim (sede Av. Joaquim Afonso da Costa),a medir,sim,Lucro Real,Media,20 a 35,odontocompany.com; instagram,83,a prospectar,,falar com RH da sede e nao das franquias,Considerar so o quadro da franqueadora em Bauru; rede tem 20 mil espalhados
Concilig,a confirmar,BPO de cobranca e telemarketing,~5000,~65%,sim (sede),a medir,sim,Lucro Real,Fraca a media,80 a 120,concilig.gupy.io; clientesa.com.br; glassdoor,82,a prospectar,,contato RH / area de bem-estar,Maior empregador BPO local; jornada de 6h; Glassdoor aponta salario baixo e desorganizacao
AeC (unidade Bauru),a confirmar,Contact center / BPO,1000 a 2000 na unidade,~65%,sim (unidade),a medir,sim,Lucro Real,Fraca,50 a 90,aec.com.br; glassdoor; portalcustomer.com.br,77,a prospectar,,contato RH da unidade de Bauru,HQ em BH; decisao pode ser regional; Glassdoor negativo sobre jornada e remuneracao
Sicredi Centro Oeste Paulista,a confirmar,Cooperativa de credito,300 a 500,~55%,sim (sede regional),a medir,sim,Cooperativa,Excelente (GPTW recorrente),12 a 20,sicredi.com.br,77,a prospectar,,contato RH regional,Cultura forte de bem-estar; porte menor mas alta chance de aceitar
UNISAGRADO,a confirmar,Ensino superior privado,500 a 900,~60%,sim (campus),a medir,sim,Imune / isenta (entidade educacional),Boa,20 a 35,unisagrado.edu.br; linkedin,75,a prospectar,,contato RH,Imune (entidade educacional) entao o apelo fiscal e fraco; usar retencao e absenteismo; ja tem parceria com empresas
Hospital de Base de Bauru,a confirmar,Saude hospitalar,~1200,~70%,sim,a medir,sim,Filantropico / associacao,Media,25 a 40,famesp.org.br; instagram Hospital de Base,74,a prospectar,,contato RH,Filantropico: apelo fiscal fraco; foco em afastamento e escala; muita enfermeira e tecnica
eSapiens Tecnologia,a confirmar,Tecnologia / venture builder,~108,~40%,sim (Jd. Contorno),a medir,provavel,Lucro Real ou Presumido,Excelente (2o melhor GPTW Bauru e regiao),4 a 8,rocketreach.co; socialbauru.com.br; esapiens.com.br,63,a prospectar,,contato direto com a lideranca,Abaixo do porte ideal mas cultura e abertura altissimas; bom para piloto rapido
